name_vacancy,min_vacancy_compensation,max_vacancy_compensation,currency_vacancy_compensation,link_vacancy,vacancy_employer,vacancy_address
Директор по разработке моделей,,,,https://krasnoyarsk.hh.ru/vacancy/68840451?from=vacancy_search_list&query=Data+science,Газпромбанк,Москва
Head of Data Analytics (Game),,,,https://krasnoyarsk.hh.ru/vacancy/73758017?from=vacancy_search_list&query=Data+science,Playrix,Москва
MLOps engineer,,,,https://krasnoyarsk.hh.ru/vacancy/75999703?from=vacancy_search_list&query=Data+science,ООО Страховая компания «Сбербанк страхование»,Москва
Data Engineer,,,,https://krasnoyarsk.hh.ru/vacancy/76108784?from=vacancy_search_list&query=Data+science,АО ДОМ.РФ,Москва
Senior Data Analyst,,,,https://krasnoyarsk.hh.ru/vacancy/70417720?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Руководитель по работе с большими данными,,,,https://krasnoyarsk.hh.ru/vacancy/69546990?from=vacancy_search_list&query=Data+science,АШАН Ритейл Россия,Москва
ML инженер / MLOps,,,,https://krasnoyarsk.hh.ru/vacancy/76446705?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Senior Data Engineer,,,,https://krasnoyarsk.hh.ru/vacancy/75752791?from=vacancy_search_list&query=Data+science,Аквелон,Москва
Senior system analyst (Brokerage),250000.0,400000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76145317?from=vacancy_search_list&query=Data+science,Сбер. Agile,Москва
Аналитик-разработчик SQL,,,,https://krasnoyarsk.hh.ru/vacancy/75986098?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
Senior system analyst,200000.0,,руб.,https://krasnoyarsk.hh.ru/vacancy/76006895?from=vacancy_search_list&query=Data+science,ООО ДелоТех,Москва
Руководитель практики по управлению данными,,,,https://krasnoyarsk.hh.ru/vacancy/75966854?from=vacancy_search_list&query=Data+science,Selecty,Москва
Medical Scientific Liaison Immuno,,,,https://krasnoyarsk.hh.ru/vacancy/76003834?from=vacancy_search_list&query=Data+science,Новартис Фарма,"Москва, Сокол"
Data scientist (Управление рисками корпоративных клиентов),,,,https://krasnoyarsk.hh.ru/vacancy/76328543?from=vacancy_search_list&query=Data+science,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
Software Developer,3000.0,4000.0,EUR,https://krasnoyarsk.hh.ru/vacancy/76163818?from=vacancy_search_list&query=Data+science,Natera,Москва
"Администратор Linux (Hadoop ops), Платформа, Хранение и обработка данных",,,,https://krasnoyarsk.hh.ru/vacancy/75887780?from=vacancy_search_list&query=Data+science,Ozon Информационные технологии,Москва
Инженер интеллектуального анализа событий,,,,https://krasnoyarsk.hh.ru/vacancy/76098133?from=vacancy_search_list&query=Data+science,"ПАО ВТБ, Технологический блок","Москва, Выставочная и еще 2 "
Product Manager,,,,https://krasnoyarsk.hh.ru/vacancy/76048324?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
DevOps engineer (to Serbia / Cyprus),,,,https://krasnoyarsk.hh.ru/vacancy/72786137?from=vacancy_search_list&query=Data+science,ООО Перфект Арт,Москва
Системный аналитик,,,,https://krasnoyarsk.hh.ru/vacancy/73084352?from=vacancy_search_list&query=Data+science,Сбер. IT,Москва
"Senior / Middle ML Developer (Voice, ASR, STT/TTS)",,,,https://krasnoyarsk.hh.ru/vacancy/75762922?from=vacancy_search_list&query=Data+science,Sifox,Москва
